,State,RecidivismRate,PercentMale,PercentFemale,PercentAsian,PercentWhite,PercentBlack,PercentNativeAmerican,PercentOfPopInPrison,TotalViolentCrimes,TotalNonviolentCrimes,OtherCrimes,AverageQOLScore,PopulationDensity
0,Florida,24.5,0.745972859061646,0.254027140938354,0.00701218100134315,0.605321661803529,0.378898615163726,0.00220462229632717,0.00359918818135123,52122,70098,94025,16.8,432
1,New York,43,0.769913797291389,0.230086202708611,0.0342192906224192,0.379874879224446,0.389601697065222,0.00474735643227663,0.00156534010145743,137983,203102,52177,20.4,420
2,Pennsylvania,46,0.713021580490239,0.286978419509761,0.0113983658703923,0.676752635189921,0.305736605750639,0.00108370236387451,0.0030038036506697,62782,189069,38306,21.6,291
3,Illinois,39.9,0.730836345877827,0.269163654122173,0.0116074778600313,0.573929926329143,0.39481504862753,0.00119112138122435,0.00232703637515757,47871,67703,52658,24.0,228
4,Ohio,30.7,0.672243737305349,0.327756262694651,0.00508056872037915,0.59690182802979,0.358678402166554,0.000888287068381855,0.0037642729665083,51037,86474,47979,28.4,290
5,North Carolina,35.8,0.715921117162696,0.284078882837304,0.00700807929583645,0.516541476299872,0.447858857541106,0.018322535126438,0.00273980936489003,43261,85385,104222,23.6,226
6,Michigan,28,0.715996883001225,0.284003116998775,0.00483691417121229,0.579516865189803,0.374674384949349,0.00858287877101191,0.00317806126921868,53316,66987,59472,26.4,179
7,New Jersey,30,0.757638647040846,0.242361352959154,0.0174485959388482,0.564730381879047,0.404800318410223,0.00209667446108359,0.00136114122829629,36047,68751,45096,20.0,1280
8,Virginia,23.4,0.714472510589015,0.285527489410985,0.0116374096956621,0.573291864554,0.401598042374741,0.000803224104194978,0.00307018514514774,48025,81263,85196,17.0,222
9,Washington,32,0.739467786720038,0.260532213279962,0.0356523700122623,0.73577499330505,0.137605885918054,0.037491719404079,0.00168040933982393,40376,60495,41253,22.4,119
10,Arizona,39.8,0.722997202471704,0.277002797528296,0.00781313080938336,0.711393872035641,0.142963670129142,0.126582218359195,0.00442921381982237,47328,123964,61060,27.8,66
11,Massachusetts,32,0.736631135793622,0.263368864206378,0.01601128627732,0.72805446076675,0.212681386599785,0.00131001433178072,0.00086741194962957,28389,28661,32315,13.0,910
12,Indiana,34,0.712495738152063,0.287504261847937,0.00877940675076713,0.643546787341537,0.322931841428261,0.00110808046368906,0.00335876319181431,26454,55604,47144,28.0,193
13,Maryland,40.5,0.745458596936551,0.254541403063449,0.010918744005348,0.445275487565033,0.525368883032834,0.00105602759235397,0.00244554717860781,27885,38789,37746,25.0,640
14,Missouri,43,0.695816624803537,0.304183375196463,0.00430382349917008,0.663552637377165,0.318989703139,0.00139543765331453,0.00378002217928974,31467,62863,41935,27.4,90
15,Wisconsin,38,0.694171090189159,0.305828909810841,0.0133136619668325,0.675620180388459,0.253045766346753,0.032741671356361,0.00354841280159705,31673,112002,58823,18.2,109
