,State,RecidivismRate,PrisonPopulation,ImprisonmentRate,Population,qualityoflifetotalscore,QualityOfLifeAffordability,QualityOfLifeEconomy,QualityOfLifeEducationAndHealth,QualityOfLifeSafety,Male,Female,Total,Rape,Arson,Fraud,Larceny,Robbery,Runaway,Weapons,Burglary,Gambling,Vagrancy,Suspicion,Vandalism,Drunkenness,Embezzlement,Sex_Offenses,Rape_Legacy,Simple_Assault,Drug_Possession,Stolen_Property,Human_Trafficking,Aggravated_Assault,All_Other_Offenses,Disorderly_Conduct,Motor_Vehicle_Theft,Drug_Abuse_Violations,Liquor_Law_Violations,Counterfeiting_or_Forgery,Drug_Sale_or_Manufacturing,Drive_Under_the_Influence,Manslaughter_by_Negligence,Murder_and_Nonnegligent_Homicide,Curfew_and_Loitering_Law_Violations,Prostitution_and_Commercialized_Vice,Offenses_Against_the_Family_and_Children,Asian,White,Unknown,Multiple,NotSpecified,Black,NativeAmerican,NativeHawaiianOrPacificIslander,Male_Age_15,Male_Age_16,Male_Age_17,Male_Age_18,Male_Age_19,Male_Age_20,Male_Age_21,Male_Age_22,Male_Age_23,Male_Age_24,Male_Age_10_12,Male_Age_11_12,Male_Age_13_14,Male_Age_25_29,Male_Age_30_34,Male_Age_35_39,Male_Age_40_44,Male_Age_45_49,Male_Age_50_54,Male_Age_55_59,Male_Age_60_64,Male_Age_Under_10,Male_Age_Under_11,Male_Age_65_and_over,Male_Age_Adult_Other,Male_Age_Juvenile_Other,Female_Age_15,Female_Age_16,Female_Age_17,Female_Age_18,Female_Age_19,Female_Age_20,Female_Age_21,Female_Age_22,Female_Age_23,Female_Age_24,Female_Age_10_12,Female_Age_11_12,Female_Age_13_14,Female_Age_25_29,Female_Age_30_34,Female_Age_35_39,Female_Age_40_44,Female_Age_45_49,Female_Age_50_54,Female_Age_55_59,Female_Age_60_64,Female_Age_Under_10,Female_Age_Under_11,Female_Age_65_and_over,Female_Age_Adult_Other,Female_Age_Juvenile_Other
0,Florida,24.5,84121,386.21,23372215,5,33,6,25,15,161063,54847,322126,0,97,2867,20262,1800,0,3998,2462,25,1752,0,3034,0,386,330,554,34366,16870,648,36,8374,93928,2218,1887,310,2164,560,2919,12469,36,238,196,647,812,1514,130695,975,0,0,81808,476,442,2289,2629,2427,2977,3165,3211,3460,3729,3729,3964,515,0,2600,21641,24762,21684,17542,12043,9895,7994,5904,12,0,4891,0,0,788,881,774,1098,1128,1145,1252,1363,1396,1421,288,0,1024,7621,8618,7753,6172,4108,3080,2241,1494,4,0,1198,0,0
1,New York,43,31099,156.78,19867248,1,46,37,16,2,285270,85252,570540,0,457,1544,68237,11544,0,12698,10442,385,234,0,22898,0,93,2696,1593,66295,40704,5363,36,32175,51720,2375,6098,11948,432,9405,6377,25393,158,540,0,305,1117,12679,140752,69897,0,0,144356,1759,46,2574,2994,3152,4918,5726,6155,6811,7183,7563,7723,452,0,2984,42904,47253,40201,31512,20489,16252,14131,8545,11,0,5737,0,0,761,909,921,1546,1860,2079,2227,2190,2289,2607,188,0,942,13183,15074,12360,9474,5722,4288,3342,1931,3,0,1356,0,0
2,Pennsylvania,46,39286,303.04,13078751,3,30,38,21,16,182910,73618,365820,0,325,4459,29644,2517,0,6776,3869,224,1510,0,5001,7066,295,1504,619,36273,37813,2061,43,10682,37981,20791,3071,16786,3276,1353,12240,40857,66,542,580,591,1342,2924,173606,1167,0,0,78430,278,118,3659,4077,4448,4561,4731,4481,4847,4725,4557,4520,1444,0,4608,22906,25590,22157,18073,12598,10557,8672,6180,41,0,5478,0,0,1625,1579,1702,1747,1714,1721,1774,1803,1796,1811,684,0,2219,9435,10852,9748,7648,4933,4092,2929,2030,11,0,1765,0,0
3,Illinois,39.9,29577,233.41,12710158,4,36,50,23,7,122714,45195,245428,0,171,3176,15151,1132,0,5253,2389,3,2,0,4879,0,123,173,198,33259,13580,412,6,5194,52487,5048,1251,320,1986,429,2051,18551,54,273,296,92,293,1949,96368,3013,0,0,66293,200,86,2137,2401,2374,2834,3117,3218,3164,3470,3534,3520,486,0,2219,18725,18948,14986,12092,8464,6529,4797,3337,12,0,2350,0,0,979,940,877,1032,1137,1191,1281,1250,1400,1407,250,0,1098,7164,7329,5607,4398,2753,2146,1450,851,2,0,653,0,0
4,Ohio,30.7,44732,379.73,11883304,15,22,48,38,19,124113,60512,248226,0,181,1257,19124,1206,0,4464,2885,3,4,0,3577,0,2,373,371,35196,18950,2377,1,6256,47798,9026,1273,862,3658,271,933,24017,11,286,208,336,584,938,110203,7012,0,0,66221,164,87,2797,2867,2714,2955,2936,2922,3017,3066,3056,2982,1294,0,3817,15769,17774,15620,13133,8915,6966,5116,3482,102,0,2813,0,0,1758,1589,1450,1328,1410,1464,1483,1572,1586,1536,853,0,2698,7982,8853,7587,6182,3971,2874,1946,1381,29,0,980,0,0
5,North Carolina,35.8,30264,286.83,11046024,16,18,17,31,36,166413,66033,332826,0,287,2541,17337,1392,0,5570,5068,52,109,0,2734,0,764,376,232,23141,29031,3733,0,7026,103935,2993,1746,370,1348,519,3425,15509,45,456,12,113,3004,1629,120068,2309,0,0,104103,4259,78,1602,1527,1798,3458,3875,3975,4491,4733,4804,4706,701,0,1877,24413,27254,22000,17579,12405,9872,7253,4566,46,0,3478,0,0,512,523,521,1060,1271,1351,1673,1759,1910,1916,297,0,968,10170,11732,9866,7348,4933,3693,2253,1295,7,0,975,0,0
6,Michigan,28,32227,320.64,10140459,14,15,47,33,23,128636,51024,257272,0,216,2350,13630,1003,0,7817,2499,22,123,0,3116,0,827,589,767,29102,9906,2316,15,11232,59256,3638,1851,93,3184,356,1928,21790,44,307,170,254,1374,869,104116,5703,0,0,67314,1542,116,1397,1607,1637,2555,2698,2823,3156,3399,3383,3302,617,0,1650,18194,21276,16702,13796,9429,7681,5915,4116,32,0,3271,0,0,563,600,553,943,1066,1193,1294,1469,1389,1431,302,0,870,7822,8671,7296,5736,3477,2567,1764,1163,6,0,849,0,0
7,New Jersey,30,12932,139.55,9500851,7,48,39,5,1,106599,34100,213198,0,116,1229,17545,1376,0,3860,2212,78,155,9,2484,30,108,657,249,20248,9493,2190,46,7332,44980,6257,737,4522,627,714,5838,14168,29,113,103,521,1868,2455,79457,1215,0,0,56955,295,322,1075,1233,1425,1788,2054,2251,2576,2509,2671,2818,244,0,1129,14788,16919,14428,12154,8354,6696,5479,3459,18,0,2531,0,0,292,325,331,559,639,668,733,803,822,883,126,0,410,4947,5839,5073,4145,2519,1971,1493,848,1,0,673,0,0
8,Virginia,23.4,27052,313.02,8811195,20,16,23,15,11,152995,61142,305990,0,191,5470,21543,1237,0,5709,1843,16,27,0,3645,0,874,611,491,31849,12528,1061,16,5882,85005,7487,1476,331,1908,1194,3409,18576,47,403,187,212,1256,2492,122763,2627,0,0,85997,172,86,1589,1818,1872,3215,3550,3487,3900,4238,4337,4247,475,0,1744,20834,23463,20921,16531,10853,8963,7594,5297,50,0,4017,0,0,880,847,791,1251,1421,1344,1504,1639,1661,1650,346,0,1254,8502,9844,8906,6705,4286,3223,2444,1396,10,0,1238,0,0
9,Washington,32,13373,172.81,7958180,9,37,4,14,48,104929,36969,209858,0,239,656,16350,1794,0,2085,4346,2,450,0,6129,0,35,408,511,24583,3993,3734,24,6427,41014,2028,1245,224,572,283,758,23698,31,222,1,83,199,5059,104405,6706,0,0,19526,5320,882,1126,1171,1098,2088,2415,1952,2055,2379,2631,2715,308,0,1438,15245,18288,15627,12302,7337,5640,3991,2795,7,0,2321,0,0,531,493,418,610,688,701,789,836,1067,1004,181,0,806,5243,6553,5519,4139,2548,1858,1277,921,0,0,787,0,0
