,State,RecidivismRate,PercentMale,PercentFemale,PercentAsian,PercentWhite,PercentBlack,PercentNativeAmerican,PercentOfPopInPrison,TotalViolentCrimes,TotalNonviolentCrimes,OtherCrimes,AverageQOLScore
0,Florida,24.5,0.5,0.170265672438735,0.00470002421412739,0.405726330690475,0.25396273507882,0.00147768264592116,0.00359918818135123,52122,70098,94025,16.8
1,New York,43,0.5,0.149423353314404,0.0222228064640516,0.246699617905844,0.253016440565079,0.00308304413362779,0.00156534010145743,137983,203102,52177,20.4
2,Pennsylvania,46,0.5,0.201241047509704,0.00799300202285277,0.474566726805533,0.21439505767864,0.000759936580832103,0.0030038036506697,62782,189069,38306,21.6
3,Illinois,39.9,0.5,0.184147693009763,0.00794122919960233,0.392652835047346,0.270111804684062,0.000814902945059244,0.00232703637515757,47871,67703,52658,24.0
4,Ohio,30.7,0.5,0.243777847606617,0.0037788144674611,0.443962356884452,0.26677704994642,0.000660688243777848,0.0037642729665083,51037,86474,47979,28.4
5,North Carolina,35.8,0.5,0.198400966270664,0.00489444935191361,0.360753066166706,0.312785058859584,0.0127964762368325,0.00273980936489003,43261,85385,104222,23.6
6,Michigan,28,0.5,0.198327062408657,0.00337774806430548,0.404692310084269,0.261645262601449,0.00599365651917037,0.00317806126921868,53316,66987,59472,26.4
7,New Jersey,30,0.5,0.159945215245922,0.0115151174026023,0.372691113425079,0.267146033264852,0.00138369027852044,0.00136114122829629,36047,68751,45096,20.0
8,Virginia,23.4,0.5,0.199816987483251,0.00814405699532664,0.401199385600837,0.281045132193863,0.000562109872871663,0.00307018514514773,48025,81263,85196,17.0
9,Washington,32,0.5,0.176161976193426,0.0241067769634705,0.497503073506848,0.0930438677581984,0.0253504750831515,0.00168040933982393,40376,60495,41253,22.4
10,Arizona,39.8,0.5,0.191565608124975,0.00540329255955118,0.491975535730709,0.0988687574726387,0.0875399088173851,0.00442921381982237,47328,123964,61060,27.8
11,Massachusetts,32,0.5,0.178765769873841,0.0108679130566955,0.494178446572427,0.144360845113239,0.000889192886456908,0.00086741194962957,28389,28661,32315,13.0
12,Indiana,34,0.5,0.201758583562627,0.00616102404593851,0.451614481941076,0.226620191627968,0.000777604976671851,0.00335876319181431,26454,55604,47144,28.0
13,Maryland,40.5,0.5,0.170728061967145,0.00732350800582242,0.29865876481597,0.352379652734456,0.00070830734040341,0.00244554717860781,27885,38789,37746,25.0
14,Missouri,43,0.5,0.218580128983228,0.00309264204515468,0.476815739753644,0.229219662025944,0.00100273376890681,0.00378002217928974,31467,62863,41935,27.4
15,Wisconsin,38,0.5,0.220283525295978,0.00958961137606906,0.486638085291304,0.182264696645462,0.023583286468642,0.00354841280159705,31673,112002,58823,18.2
16,Colorado,50,0.5,0.194045756434,0.00726818443067884,0.589126061689763,0.0864997764863657,0.0100581135449262,0.00281041035213973,32377,65311,76403,22.2
17,Minnesota,25,0.5,0.194577691071838,0.0142414505393619,0.332849437686481,0.17960179022263,0.0315125086068396,0.00135470316585913,23454,65659,31958,17.0
18,South Carolina,24.5,0.5,0.170754766762823,0.00301660451699149,0.364164849081827,0.297236684725252,0.00186009287272216,0.00257354169164919,32970,78510,41190,31.8
19,Alabama,31.5,0.5,0.198565266787987,0.00157348106292919,0.391404671177648,0.29563346437297,0.00111601532258875,0.0050972342511651,18640,51274,69302,32.2
20,Louisiana,32,0.5,0.197086266164675,0.00203934086320729,0.281592732034703,0.403550772084902,0.00141867190483985,0.00593052238708583,34600,51162,17726,37.0
21,Kentucky,46.4,0.5,0.199161608206901,0.00160987950295842,0.560436688526647,0.126121166082417,0.000519203562642432,0.00432855051857173,17262,51644,131756,34.0
