Rank,State,Population,,
1, California,39431263,,
2, Texas,31290831,,
3, Florida,23372215,,
4, New York,19867248,,
5, Pennsylvania,13078751,,
6, Illinois,12710158,,
7, Ohio,11883304,,
8, Georgia,11180878,,
9, North Carolina,11046024,,
10, Michigan,10140459,,
11, New Jersey,9500851,,
12, Virginia,8811195,,
13, Washington,7958180,,
14, Arizona,7582384,,
15, Tennessee,7227750,,
16, Massachusetts,7136171,,
17, Indiana,6924275,,
18, Maryland,6263220,,
19, Missouri,6245466,,
20, Wisconsin,5960975,,
21, Colorado,5957493,,
22, Minnesota,5793151,,
23, South Carolina,5478831,,
24, Alabama,5157699,,
25, Louisiana,4597740,,
26, Kentucky,4588372,,
27, Oregon,4272371,,
28, Oklahoma,4095393,,
29, Connecticut,3675069,,
30, Utah,3503613,,
31, Nevada,3267467,,
32, Iowa,3241488,,
33, Arkansas,3088354,,
34, Kansas,2970606,,
35, Mississippi,2943045,,
36, New Mexico,2130256,,
37, Nebraska,2005465,,
38, Idaho,2001619,,
39, West Virginia,1769979,,
40, Hawaii,1446146,,
41, New Hampshire,1409032,,
42, Maine,1405012,,
43, Montana,1137233,,
44, Rhode Island,1112308,,
45, Delaware,1051917,,
46, South Dakota,924669,,
47, North Dakota,796568,,
48, Alaska,740133,,
49, District, Columbia,11000,702250
50, Vermont,648493,,
51, Wyoming,587618,,
